电影类别,备案立项号,片名,备案单位,编剧,备案结果,备案地,梗概,公示日期,公示批次名称,备案详细页链接,公示批次链接
故事影片,影剧备字〔2021〕第1547号,你变了，我们离婚吧,安徽艾欧联美影业有限公司,赵庆莹,同意拍摄,安徽省,一对相爱多年的80后夫妻因妻子罹患癌症，心疼丈夫的妻子智贤为爱出发致使婚姻走到尽头。在离婚冷静期三十天里，得知真相的丈夫李扬用真诚唤醒妻子的记忆，最终迎来美好的结局。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56276,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1550号,摇滚乡村,安徽黑马创艺影业有限公司,李新杰,同意拍摄,安徽省,大学生村干部小余来到了菊花村开始了第六年的任期，在村书记和主任的支持下，举办了首届菊花旅游节，推广乡村文化，实现了“文化＋旅游”的乡村振兴路线，同时自己也找到了未来的发展之路，认清了自我。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56277,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1551号,冬日里的大鹅,安徽金沙文化产业投资有限公司,许多,同意拍摄,安徽省,孙小翔大学毕业返乡，纪睿，警校毕业生，深入农村磨炼，希望做出成绩。二人在已脱贫的“金盛村”相遇，本想着工作并不会困难，岂知“扶贫”难，防“返贫”更难。在了解村庄情况后，摸索出带领村民走向致富的道路。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56278,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1497号,鸭儿嫂（黄梅戏电影）,安徽再芬黄梅文化艺术股份有限公司,谢樵森、陈佑国,同意拍摄,安徽省,该剧以脱贫攻坚为大背景，通过张满秀养鸭摘掉贫困户帽子后，主动结对帮扶贫困户小六子的故事，塑造了一位农村妇女在脱贫奔小康道路上自强不息、励志奋斗、诚信经营的形象，彰显邻里相帮、守望相助的传统美德。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56279,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1719号,双山阻击战,合肥方泉广告传媒有限公司,许泽夫,同意拍摄,安徽省,回望历史所带来的震撼，它让我们牢记：中华儿女只要万众一心，就能抵御一切来犯之敌，就能实现屹立于世界民族之林的中国梦。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56280,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1530号,秘密的她,爱你影业（北京）有限公司、合肥亚寰影业有限公司、天空影业（天津）有限公司、北京中联顺合投资管理有限公司,韩笑,同意拍摄,北京市,大龄“剩女”苏漾华丽的外表下伪装着一颗脆弱的心。在遭遇爱情事业与疾病的多重打击后，她偶遇了积极阳光的年轻“老中医”叶昊初，对方用浓浓的爱与细水长流的陪伴治愈了苏漾的身心，帮助她重新找回了自我。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56281,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1673号,蓝色星光,邦博（北京）电影有限公司,李建武,同意拍摄,北京市,谨以此片，献礼建党100周年。影片讲述的是90后退役消防员年轻党员于涛，和八十年代消防老兵老党员马祥生的故事，从战友情到亲情、从小家到大家、从人生抉择，突显了两代党员用行动践行着“火焰蓝”精神。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56282,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1663号,单程,北京铛铛影业传媒有限公司,凌雨,同意拍摄,北京市,父亲退休的那一天，应该是他人生中最失落的一天，一个男人最忙的就是自己没用了，没有任何价值了，于是，退休的父亲们开始了新的人生。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56283,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1670号,美丽故事,北京飞天小象文化传媒有限公司,张吉彬,同意拍摄,北京市,自幼与母亲关系不好的自由导演叶笑突然接到了母亲去世的消息，他本以平静的心情回到老家处理丧事，却在丧事的过程中被一件件意外所困扰，在这过程中他才发现母亲一直在他人生中扮演者一个什么样的角色。,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56284,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
故事影片,影剧备字〔2021〕第1661号,蜜月,北京凤凰飞舞影视文化有限公司,覃杨,同意拍摄,北京市,李月是一个有爱心的心理医生，在蜜月旅行中认识了一个叫张宝君摄影师，女孩发现张宝君对自己有偏见，原来对方怀疑自己害死他的弟弟，为了缓解两人的矛盾，女孩用爱心感化了对方。最后两人化解了矛盾，并成为了,2021-06-04,国家电影局关于2021年4月全国电影剧本（梗概）  备案、立项公示的通知-电影备案立项公示-国家电影局,http://www.chinafilm.gov.cn/chinafilm/utils/serviceContent.shtml?ID=56285,http://www.chinafilm.gov.cn/chinafilm/contents/167/3470.shtml
